frame,timestamp,fish_y,sweet_y,distance,velocity,action,is_holding
1155,1765649191.851961,278,242,36,0.00,RELEASE,False
1160,1765649191.9703002,277,242,35,0.00,RELEASE,False
1165,1765649192.0715935,278,242,36,0.00,RELEASE,False
1170,1765649192.1788576,277,242,35,0.00,RELEASE,False
1175,1765649192.2927382,277,242,35,0.00,RELEASE,False
1180,1765649192.3902018,277,242,35,0.00,RELEASE,False
1185,1765649192.4951186,278,242,36,0.00,RELEASE,False
1190,1765649192.5850704,277,242,35,0.00,RELEASE,False
1195,1765649192.6925166,278,242,36,0.00,RELEASE,False
1200,1765649192.8183424,277,242,35,0.00,RELEASE,False
1205,1765649192.9140394,278,242,36,0.00,RELEASE,False
1210,1765649193.0139983,242,242,0,0.00,HOLD,True
1215,1765649193.1100178,220,242,-22,0.00,HOLD,True
1220,1765649193.2350788,187,247,-60,0.75,HOLD,True
1225,1765649193.3453372,166,233,-67,-3.85,HOLD,True
1230,1765649193.4600966,143,208,-65,-4.40,HOLD,True
1235,1765649193.548482,133,192,-59,-3.39,HOLD,True
1240,1765649193.6580088,119,160,-41,-6.79,HOLD,True
1245,1765649193.7729526,108,128,-20,-4.12,HOLD,True
1250,1765649193.866226,101,101,0,-6.22,RELEASE,False
1255,1765649193.972805,98,77,21,-4.91,HOLD,True
1260,1765649194.0577033,99,70,29,-0.37,RELEASE,False
1265,1765649194.1653843,99,70,29,-0.01,RELEASE,False
1270,1765649194.2760077,99,70,29,-0.00,RELEASE,False
1275,1765649194.3699148,99,70,29,-0.00,RELEASE,False
1280,1765649194.468236,100,86,14,2.94,RELEASE,False
1285,1765649194.5674555,100,104,-4,3.40,HOLD,True
1290,1765649194.6742432,100,119,-19,2.42,HOLD,True
1295,1765649194.7840662,99,132,-33,1.98,HOLD,True
1300,1765649194.8848233,99,143,-44,2.84,HOLD,True
1305,1765649195.0059795,100,149,-49,0.56,HOLD,True
1310,1765649195.1078172,99,149,-50,-0.31,HOLD,True
1315,1765649195.2106194,105,146,-41,-0.88,HOLD,True
1320,1765649195.3146555,109,138,-29,-1.75,HOLD,True
1325,1765649195.413856,118,125,-7,-3.12,RELEASE,False
1330,1765649195.506325,129,111,18,-2.44,RELEASE,False
1335,1765649195.5983918,135,101,34,-1.83,HOLD,True
1340,1765649195.6763725,132,91,41,-1.96,RELEASE,False
1345,1765649195.7817605,144,88,56,-0.22,RELEASE,False
1350,1765649195.883839,145,85,60,-0.04,RELEASE,False
1355,1765649195.9715753,148,89,59,0.56,RELEASE,False
1360,1765649196.061376,151,95,56,1.33,RELEASE,False
1365,1765649196.1863163,154,111,43,3.89,RELEASE,False
1370,1765649196.3007712,153,134,19,5.00,RELEASE,False
1375,1765649196.4240506,158,161,-3,4.31,HOLD,True
1380,1765649196.5127082,160,176,-16,2.42,HOLD,True
1385,1765649196.623949,154,192,-38,3.14,HOLD,True
1390,1765649196.7352293,157,199,-42,0.60,HOLD,True
1395,1765649196.8450763,144,201,-57,0.11,HOLD,True
1400,1765649196.9390092,142,198,-56,-0.68,HOLD,True
1405,1765649197.0470402,147,192,-45,-1.15,HOLD,True
1410,1765649197.1420572,156,178,-22,-1.66,HOLD,True
1415,1765649197.2175133,159,163,-4,-2.68,HOLD,True
1420,1765649197.3308318,153,140,13,-4.24,RELEASE,False
1425,1765649197.440059,157,118,39,-3.63,RELEASE,False
1430,1765649197.5510948,155,108,47,-2.77,RELEASE,False
1435,1765649197.6505032,154,100,54,-1.02,RELEASE,False
1440,1765649197.7767098,170,98,72,-0.09,RELEASE,False
1445,1765649197.8886077,182,104,78,0.87,RELEASE,False
1450,1765649197.9920058,183,113,70,2.12,HOLD,True
1455,1765649198.0907712,187,126,61,2.94,RELEASE,False
1460,1765649198.1681805,188,133,55,1.03,RELEASE,False
1465,1765649198.2797153,189,148,41,3.66,RELEASE,False
1470,1765649198.402058,191,166,25,3.40,HOLD,True
1475,1765649198.5072334,190,184,6,2.54,HOLD,True
1480,1765649198.6020713,190,207,-17,3.58,HOLD,True
1485,1765649198.7076864,190,223,-33,2.67,HOLD,True
1490,1765649229.3253105,152,152,0,0.00,HOLD,True
1495,1765649229.436211,151,150,1,-0.12,RELEASE,False
1500,1765649229.5418682,152,149,3,-1.06,HOLD,True
1505,1765649229.6362765,151,147,4,-0.60,RELEASE,False
1510,1765649229.7531319,152,145,7,-0.55,RELEASE,False
1515,1765649229.8639603,151,145,6,-0.02,RELEASE,False
1520,1765649229.9680398,152,148,4,0.34,RELEASE,False
1525,1765649230.0824368,151,155,-4,1.08,RELEASE,False
1530,1765649230.2041974,152,162,-10,1.32,HOLD,True
1535,1765649230.3050373,151,165,-14,0.26,HOLD,True
1540,1765649230.3964999,152,162,-10,-1.02,HOLD,True
1545,1765649230.5053296,152,156,-4,-1.25,HOLD,True
1550,1765649230.6145175,151,151,0,-0.63,RELEASE,False
1555,1765649230.7262106,152,143,9,-1.49,RELEASE,False
1560,1765649230.8503342,152,139,13,-0.30,RELEASE,False
1565,1765649230.9464161,151,142,9,1.05,HOLD,True
1570,1765649231.0425823,152,145,7,0.60,HOLD,True
1575,1765649231.1340036,152,150,2,0.35,HOLD,True
1580,1765649231.2403793,151,153,-2,0.96,RELEASE,False
1585,1765649231.350985,152,156,-4,0.59,HOLD,True
1590,1765649231.4474323,151,159,-8,0.80,HOLD,True
1595,1765649231.549093,152,161,-9,0.59,HOLD,True
1600,1765649231.6446788,151,162,-11,0.05,HOLD,True
1605,1765649231.7419095,152,159,-7,-0.81,RELEASE,False
1610,1765649231.864455,151,155,-4,-0.93,RELEASE,False
1615,1765649231.9511633,152,153,-1,-0.19,HOLD,True
1620,1765649232.0767968,151,148,3,-0.76,HOLD,True
1625,1765649232.1776612,152,144,8,-0.49,HOLD,True
1630,1765649232.302481,151,138,13,-1.30,RELEASE,False
1635,1765649232.3865588,153,137,16,-0.07,RELEASE,False
1640,1765649232.5024512,154,140,14,1.25,RELEASE,False
1645,1765649232.6303103,155,146,9,1.07,HOLD,True
1650,1765649232.7551847,157,155,2,1.56,HOLD,True
1655,1765649232.8519425,159,163,-4,1.58,HOLD,True
1660,1765649232.944961,159,169,-10,1.30,RELEASE,False
1665,1765649233.0364091,161,177,-16,1.88,HOLD,True
1670,1765649233.128464,162,181,-19,0.97,RELEASE,False
1675,1765649233.2203367,163,187,-24,1.03,HOLD,True
1680,1765649233.3032444,163,188,-25,0.16,HOLD,True
1685,1765649233.3978295,163,187,-24,-0.12,HOLD,True
1690,1765649233.5304568,165,181,-16,-1.22,RELEASE,False
1695,1765649233.6307354,165,175,-10,-1.48,HOLD,True
1700,1765649233.7370613,166,165,1,-1.48,HOLD,True
1705,1765649233.8477364,167,154,13,-2.52,RELEASE,False
1710,1765649233.9558625,168,146,22,-1.23,RELEASE,False
1715,1765649234.073845,168,145,23,-0.07,RELEASE,False
1720,1765649234.180441,169,147,22,0.62,HOLD,True
1725,1765649234.289695,169,151,18,1.18,RELEASE,False
1730,1765649234.4025006,170,157,13,0.82,RELEASE,False
1735,1765649234.5062883,170,165,5,1.37,RELEASE,False
1740,1765649234.6013024,170,173,-3,1.23,RELEASE,False
1745,1765649234.6916587,170,181,-11,1.41,HOLD,True
1750,1765649234.8074317,170,188,-18,0.76,RELEASE,False
1755,1765649234.8971927,171,191,-20,0.62,HOLD,True
1760,1765649244.9370248,151,154,-3,0.50,RELEASE,False
1765,1765649245.0450184,152,155,-3,0.08,RELEASE,False
1770,1765649245.1617427,152,157,-5,0.63,HOLD,True
1775,1765649245.2919831,152,158,-6,0.27,HOLD,True
1780,1765649245.3979158,151,157,-6,-0.05,HOLD,True
1785,1765649245.4916775,152,155,-3,-0.75,HOLD,True
1790,1765649245.600116,151,150,1,-0.96,HOLD,True
1795,1765649245.7132204,152,144,8,-0.84,HOLD,True
1800,1765649245.8516078,151,136,15,-1.34,RELEASE,False
1805,1765649245.9425275,152,135,17,-0.07,RELEASE,False
1810,1765649246.0289056,151,139,12,0.84,RELEASE,False
1815,1765649246.1457098,152,148,4,1.18,RELEASE,False
1820,1765649246.259064,151,155,-4,1.13,RELEASE,False
1825,1765649246.3694017,152,166,-14,1.79,HOLD,True
1830,1765649246.4503174,152,170,-18,1.15,HOLD,True
1835,1765649246.5649943,151,169,-18,-0.46,HOLD,True
1840,1765649246.6543055,152,166,-14,-0.36,HOLD,True
1845,1765649246.7439346,151,156,-5,-1.73,RELEASE,False
1850,1765649246.8474345,152,147,5,-1.49,RELEASE,False
1855,1765649246.957906,151,139,12,-1.89,RELEASE,False
1860,1765649247.0777326,152,132,20,-1.31,RELEASE,False
1865,1765649247.1693695,152,132,20,0.18,RELEASE,False
1870,1765649247.2899888,152,135,17,0.88,RELEASE,False
1875,1765649247.38393,152,144,8,1.81,HOLD,True
1880,1765649247.5052946,152,154,-2,2.37,HOLD,True
1885,1765649247.6175592,152,162,-10,0.98,HOLD,True
1890,1765649247.7162209,152,171,-19,1.31,HOLD,True
1895,1765649247.808117,152,177,-25,0.57,HOLD,True
1900,1765649247.8987558,152,179,-27,0.11,RELEASE,False
1905,1765649248.0192974,153,179,-26,-0.18,HOLD,True
1910,1765649248.119595,152,177,-25,-0.19,HOLD,True
1915,1765649248.23224,153,170,-17,-1.51,HOLD,True
1920,1765649248.3348985,152,161,-9,-0.95,HOLD,True
1925,1765649248.4117393,153,152,1,-1.34,HOLD,True
1930,1765649248.5330162,149,138,11,-2.60,RELEASE,False
1935,1765649248.6333323,147,130,17,-0.80,RELEASE,False
1940,1765649248.7731984,141,123,18,-1.06,RELEASE,False
1945,1765649248.8716412,140,121,19,-0.41,HOLD,True
1950,1765649248.981109,137,120,17,-0.08,RELEASE,False
1955,1765649249.0779326,136,121,15,0.25,RELEASE,False
1960,1765649249.2081788,133,124,9,0.38,RELEASE,False
1965,1765649249.2974555,131,126,5,0.29,HOLD,True
1970,1765649249.3830605,130,128,2,0.54,HOLD,True
1975,1765649249.4988725,129,130,-1,0.55,HOLD,True
1980,1765649249.5854495,128,130,-2,0.02,RELEASE,False
1985,1765649249.7102814,127,131,-4,0.06,RELEASE,False
1990,1765649249.800028,127,132,-5,0.13,RELEASE,False
1995,1765649249.8951936,126,132,-6,0.00,HOLD,True
2000,1765649249.9990988,127,129,-2,-0.66,RELEASE,False
2005,1765649250.0854237,126,127,-1,-0.58,RELEASE,False
2010,1765649250.2006981,127,126,1,-0.08,RELEASE,False
2015,1765649250.3262076,126,124,2,-0.10,HOLD,True
2020,1765649250.4459872,127,121,6,-0.22,HOLD,True
2025,1765649259.9404256,151,153,-2,0.00,RELEASE,False
2030,1765649260.0313728,152,154,-2,0.06,RELEASE,False
2035,1765649260.1544974,151,157,-6,0.69,RELEASE,False
2040,1765649260.2527354,152,159,-7,0.21,HOLD,True
2045,1765649260.3538706,152,162,-10,0.66,HOLD,True
2050,1765649260.4810784,152,163,-11,-0.39,HOLD,True
2055,1765649260.5760972,152,160,-8,-0.42,RELEASE,False
2060,1765649260.6781764,151,156,-5,-0.48,RELEASE,False
2065,1765649260.7778373,152,154,-2,-0.17,RELEASE,False
2070,1765649260.8752186,151,151,0,-0.57,HOLD,True
2075,1765649260.9682212,152,148,4,-0.54,HOLD,True
2080,1765649261.066995,151,144,7,-0.55,HOLD,True
2085,1765649261.1807694,152,139,13,-1.11,RELEASE,False
2090,1765649261.267189,151,138,13,-0.07,RELEASE,False
2095,1765649261.403973,152,144,8,1.65,HOLD,True
2100,1765649261.4931912,151,149,2,0.61,HOLD,True
2105,1765649261.6179287,152,158,-6,2.11,HOLD,True
2110,1765649261.728128,151,165,-14,0.85,HOLD,True
2115,1765649261.8339608,152,167,-15,0.18,HOLD,True
2120,1765649261.9440763,151,164,-13,-0.81,HOLD,True
2125,1765649262.0417483,152,156,-4,-1.62,RELEASE,False
2130,1765649262.1454532,151,148,3,-1.55,RELEASE,False
2135,1765649262.2574456,152,140,12,-1.92,RELEASE,False
2140,1765649262.3584523,152,130,22,-1.62,HOLD,True
2145,1765649262.4780836,152,125,27,-0.83,RELEASE,False
2150,1765649262.5852597,152,125,27,0.16,HOLD,True
2155,1765649262.695212,152,128,24,0.79,RELEASE,False
2160,1765649262.8102226,152,138,14,2.34,RELEASE,False
2165,1765649262.9287493,152,149,3,2.26,RELEASE,False
2170,1765649263.025013,151,158,-7,1.73,RELEASE,False
2175,1765649263.1330743,152,167,-15,1.43,HOLD,True
2180,1765649263.2277544,151,173,-22,1.20,HOLD,True
2185,1765649263.3243206,152,176,-24,0.69,HOLD,True
2190,1765649263.4301178,169,176,-7,0.02,HOLD,True
2195,1765649263.5312314,189,172,17,-0.91,RELEASE,False
2200,1765649263.6184986,206,172,34,0.44,RELEASE,False
2205,1765649263.698598,217,173,44,0.42,RELEASE,False
2210,1765649263.8088644,234,183,51,2.70,RELEASE,False
2215,1765649263.9175875,245,194,51,1.83,RELEASE,False
2220,1765649264.0079155,255,212,43,3.15,RELEASE,False
2225,1765649264.1194623,265,239,26,4.69,RELEASE,False
2230,1765649264.208653,272,239,33,0.15,RELEASE,False
2235,1765649264.3075578,276,239,37,0.00,RELEASE,False
2240,1765649264.4117014,280,239,41,0.00,RELEASE,False
2245,1765649264.5242174,282,239,43,0.00,RELEASE,False
2250,1765649264.6279364,283,239,44,0.00,RELEASE,False
2255,1765649264.7427804,282,239,43,0.00,RELEASE,False
2260,1765649264.8457663,283,239,44,0.00,RELEASE,False
2265,1765649264.9450133,283,239,44,0.00,RELEASE,False
2270,1765649265.0496612,283,239,44,0.00,RELEASE,False
2275,1765649265.1353393,283,239,44,0.00,RELEASE,False
2280,1765649265.2521248,282,239,43,0.00,RELEASE,False
2285,1765649265.3839738,283,239,44,0.00,RELEASE,False
2290,1765649265.4900737,283,239,44,0.00,RELEASE,False
2295,1765649265.5940578,283,239,44,0.00,RELEASE,False
2300,1765649265.7109718,282,239,43,0.00,RELEASE,False
2305,1765649265.812834,283,239,44,0.00,RELEASE,False
2310,1765649265.91388,282,239,43,0.00,HOLD,True
2315,1765649266.0080626,283,239,44,0.00,RELEASE,False
